denom,ticker,ratio
ABBOTT LABORATORIES,ABT,4:1
HOWMET AEROSPACE INC,HWM,1:1
AEGON LTD NPV,AEG,1:1
"ALTRIA GROUP, INC",MO,4:1
ALUMINUM CORP OF CHINA**,AOCA,1:1
AGNICO EAGLE MINES LIMITED,AEM,6:1
AMERICA MOVIL-SPN ADR,AMX,1:1
AMERICAN EXPRESS Co.,AXP,15:1
AMERICAN INTERNATIONAL GROUP INC (AIG),AIG,5:1
AMGEN INC.,AMGN,30:1
ANALOG DEVICES INC.,ADI,15:1
APPLE INC.,AAPL,20:1
APPLIED MATERIALS INC.,AMAT,5:1
AT&T INC,T,3:1
AUTOMATIC DATA PROCESSING INC,ADP,6:1
AVERY DENNISON CORPORATION,AVY,18:1
AVIS BUDGET GROUP INC.,CAR,26:1
Natura & Co Holding S.A.**,NTCOY,1:1
ASTRAZENECA PLC - ADR,AZN,2:1
BANCO BILBAO VIZCAYA-SP ADR,BBVA,1:1
"BANCO BRADESCO, S.A.",BBD,1:1
BANCO SANTANDER (BRASIL) S.A.,BSBR,1:1
BANK OF AMERICA CORPORATION,BAC,4:1
BARCLAYS BANK plc ADR,BCS,1:1
BARRICK GOLD CORP.,GOLD,2:1
BASF SE,BAS GR,2:1
BAYER AG,BAYN GR,3:1
BHP GROUP LTD,BHP,2:1
BOEING Co.,BA,24:1
BP  plc. ADR,BP,5:1
BRISTOL MYERS SQUIBB COMPANY,BMY,3:1
BUNGE GLOBAL SA NPV,BG,5:1
CARDINAL HEALTH INC,CAH,3:1
CATERPILLAR Inc.,CAT,20:1
CEMEX S.A.B. de C.V. ADR,CX,1:1
CHEVRON CORP,CVX,16:1
CISCO SYSTEMS  Inc.,CSCO,5:1
CITIGROUP INCORPORATED,C,3:1
COCA COLA Co.,KO,5:1
"COCA-COLA FEMSA, S.A.B DE CV",KOF,2:1
COEUR MINING INC,CDE,1:1
COLGATE PALMOLIVE COMPANY,CL,3:1
VALE S.A.,VALE,2:1
CORNING INCORPORATED,GLW,4:1
COSTCO WHOLSALE CORP,COST,48:1
MERCEDES-BENZ AG,MBG GR,4:1
DEERE & COMPANY,DE,40:1
DEUTSCHE TELEKOM AG ADR,DTEA GR,3:1
DIAGEO PLC ADR,DEO,6:1
DISNEY COMMON STOCK,DIS,12:1
DUPONT DE NOMOURS INC,DD,5:1
EBAY INC.,EBAY,2:1
E.ON SE,EOAN GR,6:1
ELI LILLY AND COMPANY,LLY,56:1
ENI SPA - ADR,E,4:1
EXXON MOBIL CORPORATION,XOM,10:1
"FED. NATL, MORT - FANNIE MAE",FNMA,1:1
FEDEX CORP,FDX,10:1
FIRST SOLAR INC.,FSLR,18:1
FOMENTO ECONOMICO MEXICANO - FEMSA ADR,FMX,6:1
ORANGE,ORAN,1:1
FREDDIE MAC (FEDERAL HOME LOAN MORTGAGE CORP.),FMCC,1:1
FREEPORT MCMORAN INC.,FCX,3:1
GE AEROSPACE.,GE,8:1
GSK plc,GSK,4:1
GOLD FIELDS LTD.,GFI,1:1
"Alphabet Inc. CL  ""A""",GOOGL,58:1
"GRUPO AEROPORTUARIO DEL PACIFICO, S.A.B. de C.V.",PAC,16:1
"GRUPO AEROPORTUARIO DEL SURESTE , S.A.B. de C.V.",ASR,20:1
GRUPO TELEVISA S.A. ADR,TV,3:1
DANONE,BSN GR,20:1
HARLEY DAVIDSON INC.,HOG,3:1
HARMONY GOLD MINING COMPANY LTD.,HMY,1:1
HDFC BANK LIMITED,HDB,2:1
HECLA MINING CO,HL,1:1
HP Inc,HPQ,1:1
HONDA MOTOR  CO. LTD,HMC,1:1
HON HAI PRECISION INDUSTRY CO. LTD.,HHPD LI,2:1
HONEYWELL INTERNATIONAL INC. (ex Allied S.),HON,8:1
HSBC HOLDINGS plc ADR,HSBC,2:1
IBM Corp.,IBM,15:1
ICICI BANK LTD,IBN,1:1
INFOSYS LIMITED,INFY,1:1
ING Group NV ADR,ING,3:1
INTEL  Corporation,INTC,5:1
INTERNATIONAL FLAVORS & FRAGRANCE INC.,IFF,12:1
INTERNATIONAL PAPER Co.,IP,4:1
J.P. MORGAN & CHASE Co.,JPM,15:1
JOHNSON & JOHNSON,JNJ,15:1
KIMBERLY CLARK CORPORATION,KMB,6:1
KINROSS GOLD CORP.,KGC,1:1
KB FINANCIAL GROUP INC.,KB,2:1
KOREA ELECTRIC POWER CORP.,KEP,1:1
LAS VEGAS SANDS CORP.,LVS,2:1
LLOYDS BANKING GROUP plc.,LYG,2:1
LM ERICSSON TELEPHONE Co. ADR,ERIC,2:1
LOCKHEED MARTIN CORPORATION,LMT,20:1
"MARSH & MCLENNAN COMPANIES, INC.",MMC,16:1
Mc DONALD'S Corp.,MCD,24:1
MEDTRONIC PLC,MDT,4:1
MERCADOLIBRE INC.,MELI,120:1
MERCK & Co. Inc.,MRK,5:1
MICROSOFT CORPORATION,MSFT,30:1
3M COMPANY,MMM,10:1
MITSUBISHI UFJ FINANCIAL GROUP,MUFG,1:1
MIZUHO FINANCIAL GROUP,MFG,1:1
MOBILE TELESYSTEMS**,MBT,2:1
MOTOROLA SOLUTIONS Inc.,MSI,20:1
NATIONAL GRID PLC-SP  ADR,NGG,2:1
NEC CORPORATION,NEC1 GR,1:3
NEWMONT  CORPORATION,NEM,3:1
NIKE Inc.,NKE,12:1
NISSAN MOTOR CO.,NSANY,1:1
NOKIA CORPORATION ADR,NOK,1:1
NOMURA HOLDINGS INC.,NMR,1:1
NOVARTIS AG - ADR,NVS,4:1
NUCOR CORPORATION,NUE,16:1
GAZPROM PJSC**,OGZD,2:1
LUKOIL PJSC**,LKOD,4:1
TATNEFT PAO**,ATAD,4:1
NOVOLIPETSK STEEL PJSC**,NLMK LI,2.1
ORACLE CORPORATION,ORCL,3.1
PACCAR INC,PCAR,3:1
PEARSON PLC.,PSO,1:1
PEPSICO INC,PEP,18:1
PFIZER INC,PFE,4:1
KONINKLIJKE PHILIPS N.V,PHG,5:1
PITNEY BOWES INC,PBI,1:1
POSCO HOLDINGS INC,PKX,3:1
PROCTER & GAMBLE Co.,PG,15:1
QUALCOMM INCORPORATED,QCOM,11:1
BLACKBERRY LIMITED,BB,3:1
RIO TINTO PLC - ADR,RIO,8:1
SHELL PLC,SHEL,2:1
SAMSUNG ELECTRONICS CO. LTD.,SMSN LI,14:1
SAP SE,SAP,6:1
SCHLUMBERGER LIMITED,SLB,3:1
SIEMENS AG ADR,SIEGY,3:1
SNAP-ON INCORPORATED,SNA,6:1
SONY GROUP CORPORATION,SONY,8:1
SOUTHERN COPPER CORP.,SCCO,2:1
STARBUCKS CORPORATION,SBUX,12:1
SYSCO CORPORATION,SYY,8:1
TAIWAN SEMICONDUCTOR MANUFACTURING,TSM,9:1
TELECOM ITALIA SPA ADR,TIIAY,1:1
TELEFONICA S.A. ADR,TEF,8:1
TERNIUM S.A.,TX,4:1
TEXAS INSTRUMENTS INCORPORATED,TXN,5:1
BANK OF NEW YORK MELLON CORP,BK,2:1
THE HERSHEY COMPANY,HSY,21:1
HOME DEPOT INC.,HD,32:1
TotalEnergies SE - ADR,TTE,3:1
TOYOTA MOTOR CORPORATION ADR,TM,15:1
"The Travelers Companies, Inc.",TRV,6:1
JOHNSON CONTROLS INTERNATIONAL,JCI,2:1
U.S. BANCORP,USB,5:1
UNILEVER PLC-SPONSORED ADR,UL,3:1
UNITED STATES STEEL CORP.,X,3:1
RTX CORPORATION,RTX,5:1
VERIZON COMMUNICATIONS INC.,VZ,4:1
VODAFONE GROUP plc. ADR,VOD,1:1
WALMART Inc.,WMT,18:1
WELLS FARGO & COMPANY,WFC,5:1
ALTABA INC***,AABA,3:1
YANKUANG ENERGY GROUP CO. LTD.,YZCAY,2:1
META PLATFORMS INC.,META,24:1
"AMAZON.COM, INC.",AMZN,144 : 1
NVIDIA CORPORATION,NVDA,24 : 1
ADOBE SYSTEMS INCORPORATED,ADBE,44:1
BIOGEN INC.,BIIB,13 : 1
"GILEAD SCIENCES, INC.",GILD,4 : 1
"NETFLIX, INC.",NFLX,48:1
THERMO FISHER SCIENTIFIC INC.,TMO,22 : 1
"PAYPAL HOLDINGS, INC.",PYPL,8 : 1
SALESFORCE INC.,CRM,18:1
"TESLA, INC.",TSLA,15 : 1
"ADVANCED MICRO DEVICES, INC.",AMD,10:1
NOVAGOLD RESOURCES INC.,NG,1 :4
"TRIPADVISOR, INC.",TRIP,2 : 1
ABERCROMBIE & FITCH CO.,ANF,1 : 1
"URBAN OUTFITTERS, INC.",URBN,2 : 1
GARMIN LTD.,GRMN,3 : 1
SNAP INC.,SNAP,1 :1
"VERISIGN, INC.",VRSN,6 : 1
XEROX HOLDING CORPORATION,XRX,1 : 1
YELP INC.,YELP,2 : 1
"ROSS STORES, INC.",ROST,4 : 1
TARGET CORPORATION,TGT,24:1
"THE GOLDMAN SACHS GROUP, INC",GS,13 : 1
VISA INC,V,18:1
ARCOS DORADOS HOLDINGS INC.,ARCO,1 :2
"DESPEGAR.COM, CORP.",DESP,1 : 1
ADECOAGRO S.A.,AGRO,1:1
GLOBANT S.A.,GLOB,18:1
ALIBABA GROUP HOLDING LIMITED*,BABA,9 : 1
"BAIDU, INC.",BIDU,11 : 1
AMBEV S.A.,ABEV,1 :3
TELEFÔNICA BRASIL S.A.,VIV,1 :1
"JD.COM, INC.",JD,4:1
"NETEASE, INC.",NTES,14 : 1
TRIP.COM Group Ltd.,TCOM,2 : 1
JOYY Inc.,YY,5 : 1
GERDAU S.A.,GGB,1 :4
BRF S.A.,BRFS,1 :3
COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO**,CBD,1 :1
COMPANHIA DE SANEAMENTO BÁSICO DO ESTADO DE SÃO PAULO–SABESP,SBS,1 :2
WEIBO CORPORATION,WB,6:1
ITAÚ UNIBANCO HOLDING S.A.,ITUB,1 :1
EMBRAER-EMPRESA BRASILEIRA DE AERONÁUTICA S.A.,ERJ,1 :1
ULTRAPAR PARTICIPAÇÕES S.A.,UGP,1 :1
SUZANO SA,SUZ,1 :1
CENTRAIS ELÉTRICAS BRASILEIRAS S.A. - ELETROBRÁS,EBR,1 :4
COMPANHIA PARANAENSE DE ENERGIA-COPEL - PREF,ELP,1 :3
TIM PARTICIPAÇÕES S.A.,TIMB,1 :1
COMPANHIA SIDERÚRGICA NACIONAL,SID,1 :8
TENARIS S.A. (ADS),TS,1 :1
BANCO SANTANDER  S.A. (ADR),SAN,1 :4
PETROLEO BRASILEIRO - PETROBRAS (ADR),PBR,1 :1
VISTA ENERGY S.A.B. de C.V (ADS),VIST,3:1
ABBVIE INC,ABBV,10:1
BERKSHIRE HATHAWAY INC,BRK/B,22:1
BIOCERES CROP SOLUTIONS CORP,BIOX,1:1
BROADCOM INC,AVGO,39:1
CORP AMERICA AIRPORTS SA,CAAP,1:4
DOCUSIGN INC,DOCU,22:1
ETSY INC,ETSY,16:1
GEOPARK LTD,GPRK,1:1
HALLIBURTON CO,HAL,2:1
MASTERCARD INC,MA,33:1
PAN AMERICAN SILVER CORP,PAAS,3:1
PHILLIPS 66,PSX,6:1
UNION PACIFIC CORP,UNP,20:1
UNITEDHEALTH GROUP INC,UNH,33:1
WALGREENS BOOTS ALLIANCE INC,WBA,3:1
ZOOM VIDEO COMMUNICATIONS INC,ZM,47:1
EQUIFAX INC,EFX,16:1
"BLOCK, INC",SQ,20:1
SHOPIFY INC,SHOP,107:1
SPOTIFY TECHNOLOGY SA,SPOT,28:1
SNOWFLAKE INC,SNOW,30:1
TWILIO INC,TWLO,36:1
COINBASE GLOBAL INC,COIN,27:1
S&P GLOBAL INC,SPGI,45:1
AMERICAN AIRLINES GROUP INC,AAL,2:1
LAM RESEARCH CORP,LRCX,56:1
ELECTRONIC ARTS INC,EA,14:1
XP INC,XP,4:1
GENERAL MOTORS CO,GM,6:1
DOW INC,DOW,6:1
EMBOTELLADORA ANDINA S.A.,AKO.B,1:1
NIO INC,NIO,4:1
SEA LTD,SE,32:1
ADIDAS AG,ADS,22:1
BRASILAGRO - CO BRASILEIRA DE PROPRIEDADES AGRICOLAS,LND,1:1
BRASKEM SA,BAK,2:1
ADVANCE AUTO PARTS INC,AAP,14:1
LITHIUM AMERICAS CORP,LAC,1:1
MARVELL TECHNOLOGY INC,MRVL,14:1
MCEWEN MINING INC,MUX,2:1
NU HOLDINGS LTD/CAYMAN ISLANDS,NU,2:1
PAGSEGURO DIGITAL LTD,PAGS,3:1
PALANTIR TECHNOLOGIES INC,PLTR,3:1
SHAPEWAYS HOLDINGS INC,SHPW,1:2
STONECO LTD,STNE,3:1
SUNCAR TECHNOLOGY GROUP INC,SDA,2:1
PHILIP MORRIS INTERNATIONAL INC.,PM,18:1
CVS HEALTH CORP.,CVS,15:1
"MONDELEZ INTERNATIONAL, INC.",MDLZ,15:1
DELTA AIR LINES INC.,DAL,8:1
CARNIVAL CORP.,CCL,3:1
ACCENTURE PLC,ACN,75:1
CHARLES SCHWAB CORP.,SCHW,13:1
MODERNA INC.,MRNA,19:1
STELLANTIS NV,STLA,5:1
BOOKING HOLDINGS INC.,BKNG,700:1
T-MOBILE US INC.,TMUS,33:1
VIRGIN GALACTIC HOLDINGS INC.,SPCE,1:2
RIOT PLATFORMS INC.,RIOT,3:1
ROKU INC.,ROKU,13:1
FERRARI NV,RACE,83:1
SKYWORKS SOLUTIONS INC.,SWKS,21:1
PINTEREST INC.,PINS,7:1
JNJ6.95,DJNJ3-XD004,1:1
FORD MOTOR COMPANY,F,1:1
ROBLOX CORP.,RBLX,2:1
UNITED AIRLINES HOLDINGS INC.,UAL,5:1
SATELLOGIC INC.,SATL,1:1
MICRON TECHNOLOGY INC,MU,5:1
OCCIDENTAL PETROLEUM CORP.,OXY,5:1
UBER TECHNOLOGIES INC.,UBER,2:1
UPSTART HLDGS INC,UPST,5:1
PALO ALTO NETWORKS INC,PANW,50:1
THE MOSAIC CO,MOS,5:1
MICROSTRATEGY INC CL A NEW  ,MSTR,20:1
SILVERGATE BANCORP,SI,10:1
BITFARMS LTD.,BITF,1:5
HUT 8 MINING CORP.,HUT,1:5
AIRBNB INC,ABNB,15:1
ADR JUMIA TECHNOLOGIES AG,JMIA,1:1
MAGAZINE LUIZA S.A.,MGLU3,1:1
PETRO RIO S.A.,PRIO3,2:1
BANCO DO BRASIL S.A.,BBAS3,2:1
LOCALIZA RENT A CAR S.A.,RENT3,2:1
HAPVIDA PARTICIPACOES E INVESTIMENTOS S.A.,HAPV3,1:1
LOJAS RENNER S.A.,LREN3,1:1